Wall time,Step,Value
1740857098.7355745,185,6.983458042144775
1740857885.2661214,371,5.66456937789917
1740858667.7530525,557,5.23830509185791
1740859452.6312351,743,4.99318790435791
1740860236.9419782,929,4.838484764099121
1740861016.1173263,1115,4.714487075805664
1740861803.1023145,1301,4.602641582489014
1740862584.826588,1487,4.447384834289551
1740863369.9060855,1673,4.270340919494629
1740864149.344273,1859,4.206640720367432
1740864934.1722567,2045,4.161692142486572
1740865716.122588,2231,4.10676383972168
1740866502.6489644,2417,3.9632253646850586
1740867283.1205847,2603,3.896186113357544
1740868068.5600111,2789,3.8252556324005127
1740868849.1636043,2975,3.7319254875183105
1740869636.738738,3161,3.68589448928833
1740870426.043494,3347,3.581543207168579
1740871207.4558482,3533,3.500880718231201
1740871990.8447769,3719,3.454113006591797
1740872778.413468,3905,3.4857184886932373
1740873564.3566828,4091,3.400846004486084
1740874349.5976517,4277,3.3060221672058105
1740875132.8224645,4463,3.3016018867492676
1740875920.3015337,4649,3.1876392364501953
1740876701.253233,4835,3.1722004413604736
1740877485.4563043,5021,3.2130320072174072
1740878265.213976,5207,3.0563278198242188
1740879048.5926082,5393,3.0314130783081055
1740879835.8732212,5579,3.024043321609497
1740880621.2606359,5765,2.938173770904541
1740881409.062362,5951,2.958122730255127
1740882189.43271,6137,2.894132137298584
1740882967.6130035,6323,2.910339117050171
1740883751.8942375,6509,2.8869800567626953
1740884535.3609457,6695,2.78437876701355
1740885316.7051735,6881,2.745750904083252
1740886090.6374786,7067,2.7425639629364014
1740886874.2024136,7253,2.7660977840423584
1740887660.955343,7439,2.6808953285217285
1740888439.9462056,7625,2.7023942470550537
1740889223.0468278,7811,2.6416425704956055
1740890010.2333634,7997,2.5924925804138184
1740890799.9891536,8183,2.5820558071136475
1740891583.1372118,8369,2.5853610038757324
1740892366.4458413,8555,2.5686488151550293
1740893150.5352573,8741,2.5651113986968994
1740893929.8406267,8927,2.5356457233428955
1740894713.193099,9113,2.5048279762268066
1740895500.821826,9299,2.513584852218628
