Wall time,Step,Value
1740857096.6757412,185,0.08704011887311935
1740857883.2195978,371,0.1500639021396637
1740858665.6696353,557,0.19587793946266174
1740859450.5747514,743,0.22953693568706512
1740860234.9033725,929,0.229770228266716
1740861014.0571535,1115,0.26244235038757324
1740861801.0689075,1301,0.26509132981300354
1740862582.7547832,1487,0.28527459502220154
1740863367.8462727,1673,0.28675493597984314
1740864147.2466145,1859,0.29278022050857544
1740864932.123521,2045,0.30212530493736267
1740865716.061133,2231,0.27664753794670105
1740866500.6041126,2417,0.3122175931930542
1740867283.0608559,2603,0.31147444248199463
1740868066.4797184,2789,0.31223028898239136
1740868847.0714393,2975,0.3204502761363983
1740869634.7058434,3161,0.329776406288147
1740870425.9799721,3347,0.328805536031723
1740871205.3649008,3533,0.333578884601593
1740871988.7847378,3719,0.33516472578048706
1740872776.346124,3905,0.34299808740615845
1740873564.2943456,4091,0.33388751745224
1740874347.5140235,4277,0.34676191210746765
1740875132.7608192,4463,0.3400794267654419
1740875920.2405777,4649,0.3291681110858917
1740876701.1922004,4835,0.3421589434146881
1740877485.3945408,5021,0.3328809440135956
1740878265.1521974,5207,0.33623966574668884
1740879048.5296967,5393,0.3289593756198883
1740879835.810803,5579,0.3461816608905792
1740880621.1996555,5765,0.3441540002822876
1740881406.9640102,5951,0.3470795154571533
1740882189.3709452,6137,0.33775776624679565
1740882967.5506692,6323,0.3329133093357086
1740883751.833428,6509,0.33514076471328735
1740884535.3006644,6695,0.33237725496292114
1740885316.643729,6881,0.33396393060684204
1740886090.5742645,7067,0.3395320177078247
1740886872.093484,7253,0.3503043055534363
1740887660.893143,7439,0.32822299003601074
1740888439.8851285,7625,0.34233179688453674
1740889222.9854498,7811,0.316020131111145
1740890010.1729782,7997,0.3303219676017761
1740890799.9265902,8183,0.3331714868545532
1740891583.0750046,8369,0.34092003107070923
1740892366.385655,8555,0.34605908393859863
1740893148.475167,8741,0.3507623076438904
1740893929.7790806,8927,0.3395516276359558
1740894713.1321034,9113,0.343722939491272
1740895500.7599397,9299,0.3497987985610962
