Wall time,Step,Value
1740917969.7252958,185,0.03635122999548912
1740921853.9256644,371,0.1560017466545105
1740925770.0154688,557,0.16505500674247742
1740929665.7625017,743,0.21568632125854492
1740933601.8244898,929,0.2291548252105713
1740937536.6031268,1115,0.27161476016044617
1740941440.5123296,1301,0.276583194732666
1740945359.980656,1487,0.27089276909828186
1740949265.9075606,1673,0.2805374264717102
1740953151.6255505,1859,0.28081485629081726
1740957054.1759882,2045,0.295068621635437
1740960953.2522542,2231,0.3037402331829071
1740964873.460853,2417,0.3015053868293762
1740968761.6848028,2603,0.3169969916343689
1740972707.9198062,2789,0.3221173882484436
1740976675.8650765,2975,0.3316411077976227
1740980615.8812604,3161,0.32998472452163696
1740984525.0111659,3347,0.322186142206192
1740988415.8672996,3533,0.3508269786834717
1740992324.1231515,3719,0.31434521079063416
1740996291.7591596,3905,0.34205660223960876
1741000170.3130274,4091,0.317524790763855
1741004147.5209239,4277,0.33725666999816895
1741008040.2760563,4463,0.33491945266723633
1741011932.338848,4649,0.3342663049697876
1741015856.2728214,4835,0.34195202589035034
