Wall time,Step,Value
1740597833.5788825,39,8.044558853725903e-06
1740597977.3872948,79,0.012478458695113659
1740598121.3801484,119,0.020166778936982155
1740598265.1160948,159,0.03730800747871399
1740680866.636492,185,0.0647236555814743
1740681169.964981,371,0.17662528157234192
1740681472.536289,557,0.22188061475753784
1740681774.962706,743,0.2504132390022278
1740682078.4359992,929,0.25922691822052
1740682383.0192916,1115,0.27077966928482056
1740682687.9263637,1301,0.27221739292144775
1740683046.4418187,1487,0.2879343330860138
1740683351.4150417,1673,0.2784268856048584
1740683652.1757557,1859,0.2916947603225708
1740683954.7047682,2045,0.28792449831962585
1740684256.4320898,2231,0.28211840987205505
1740684558.8302746,2417,0.28083181381225586
1740684860.917201,2603,0.26465317606925964
1740685163.3675776,2789,0.26600417494773865
1740685465.2260408,2975,0.26977136731147766
1740685765.1388557,3161,0.2748035788536072
1740686061.838278,3347,0.25350457429885864
1740686356.2481093,3533,0.2673482894897461
1740686647.670005,3719,0.26250502467155457
1740686941.153976,3905,0.2573084533214569
1740687232.2282732,4091,0.24753378331661224
1740687524.875856,4277,0.25720030069351196
1740687815.3149574,4463,0.2497771680355072
1740688105.6826699,4649,0.2549251317977905
1740688397.307225,4835,0.24941107630729675
1740688688.8203633,5021,0.2540709376335144
1740688978.9863226,5207,0.254451721906662
1740689269.0913897,5393,0.25180357694625854
1740689558.3930657,5579,0.24765032529830933
1740689848.0034187,5765,0.2516908645629883
1740690138.9896743,5951,0.25153619050979614
1740690429.3072004,6137,0.25147438049316406
1740690720.3215435,6323,0.25256475806236267
1740691010.5942783,6509,0.25133830308914185
1740691300.616805,6695,0.252202570438385
1740691590.009949,6881,0.25031065940856934
1740691881.0458562,7067,0.24799874424934387
1740692172.4199154,7253,0.2517393231391907
1740692462.7542057,7439,0.2520979642868042
1740692754.1382222,7625,0.24467581510543823
1740693045.0890663,7811,0.2504761815071106
1740693336.2352037,7997,0.24551303684711456
1740693627.6172752,8183,0.24815823137760162
1740693917.7472692,8369,0.24854253232479095
1740694208.57835,8555,0.24912920594215393
1740694500.5281394,8741,0.24909912049770355
1740694791.975335,8927,0.244929239153862
1740695082.7184281,9113,0.24785871803760529
1740695373.1297498,9299,0.24576309323310852
