Wall time,Step,Value
1736197029.877059,328,0.03936903923749924
1736197843.1400223,657,0.07809369266033173
1736198666.8372931,986,0.12803666293621063
1736199480.4973974,1315,0.16115835309028625
1736200304.527725,1644,0.19425812363624573
1736201132.922334,1973,0.23566527664661407
1736201961.7209184,2302,0.2676372826099396
1736202786.2169118,2631,0.29038697481155396
1736203644.1356752,2960,0.29914796352386475
1736204470.499233,3289,0.31687459349632263
1736205293.8257391,3618,0.3351213335990906
1736206109.0170417,3947,0.34322065114974976
1736206924.3421972,4276,0.3480948805809021
1736207756.3039243,4605,0.35573944449424744
1736208573.2265577,4934,0.3709154427051544
1736209395.2468915,5263,0.37295517325401306
1736210217.1845634,5592,0.38300833106040955
1736211037.7298644,5921,0.3867979347705841
1736211860.4732807,6250,0.3850930333137512
1736212677.1003883,6579,0.3969431221485138
1736213501.9524295,6908,0.3995836079120636
1736214333.3645656,7237,0.41361674666404724
1736215144.6455271,7566,0.4206995964050293
1736215973.1045034,7895,0.41752099990844727
1736216797.3513684,8224,0.4245695173740387
1736217627.0032005,8553,0.42873817682266235
1736218455.0196204,8882,0.4312889575958252
1736219283.0259705,9211,0.4410577118396759
1736220099.3008676,9540,0.439264178276062
1736220924.5366066,9869,0.44486555457115173
1736221746.7574859,10198,0.45216768980026245
1736222569.7537398,10527,0.454754114151001
1736223396.2147481,10856,0.4559159576892853
1736224211.3714857,11185,0.466700941324234
1736225040.143349,11514,0.4658876657485962
1736225855.8968973,11843,0.47214242815971375
1736226686.565823,12172,0.47609275579452515
1736227514.084969,12501,0.479480504989624
1736228337.988174,12830,0.48615172505378723
1736229161.1530814,13159,0.48707348108291626
1736229984.858624,13488,0.48624303936958313
1736230804.7342255,13817,0.4931067228317261
1736231627.7917962,14146,0.49657613039016724
1736232446.5287702,14475,0.5019399523735046
1736233266.8553393,14804,0.5078437328338623
1736234085.2085333,15133,0.5075787901878357
1736234907.8598971,15462,0.5052549839019775
1736235730.5861466,15791,0.515027642250061
1736236551.131043,16120,0.517099142074585
1736237372.4921634,16449,0.5212012529373169
1736238195.9362698,16778,0.5276970267295837
1736239019.3361936,17107,0.5233772397041321
1736239834.2271893,17436,0.5302345752716064
1736240655.4447787,17765,0.535173773765564
1736241479.5423846,18094,0.53729248046875
1736242301.3511868,18423,0.5420578718185425
1736243134.9382176,18752,0.5434018969535828
1736243961.138989,19081,0.5468264222145081
1736244786.3380184,19410,0.54677814245224
1736245587.7951624,19739,0.551920473575592
1736246415.0091474,20068,0.5544907450675964
1736247240.0549257,20397,0.5549818873405457
1736248058.4995656,20726,0.5637402534484863
1736248872.890485,21055,0.560408890247345
1736249706.6628273,21384,0.5667913556098938
1736250528.6503358,21713,0.5704218745231628
1736251360.221844,22042,0.5704936981201172
1736252193.8377244,22371,0.564824640750885
1736253004.7305443,22700,0.5754809379577637
1736253814.382668,23029,0.5761526226997375
1736254642.355079,23358,0.5774778127670288
1736255474.2020483,23687,0.5776627063751221
1736256300.389605,24016,0.5865057110786438
1736257133.1798115,24345,0.5855020880699158
1736257930.949025,24674,0.5883367657661438
1736258760.8153567,25003,0.5871841311454773
1736259560.4690683,25332,0.5873087048530579
1736260387.0122602,25661,0.5844599008560181
1736261207.4387503,25990,0.5923720002174377
1736262020.9092233,26319,0.5903793573379517
1736262839.4325123,26648,0.6002064943313599
1736263659.8093667,26977,0.5907393097877502
1736264475.3339646,27306,0.596097469329834
1736265291.453679,27635,0.6017365455627441
1736266107.0808222,27964,0.5995113849639893
1736266927.9838097,28293,0.5980491638183594
1736267739.2401674,28622,0.606011152267456
1736268591.9925332,28951,0.6103535294532776
1736269407.8194666,29280,0.6069731116294861
1736270220.8600154,29609,0.6038807034492493
1736271044.670482,29938,0.6097100973129272
1736271858.2168362,30267,0.6091303825378418
1736272669.3564632,30596,0.6133611798286438
1736273487.41025,30925,0.6144384145736694
1736274310.8689272,31254,0.6129239201545715
1736275120.012881,31583,0.6080575585365295
1736275932.9583757,31912,0.6172152757644653
1736276756.3027217,32241,0.6166532039642334
1736277562.8533008,32570,0.6207285523414612
1736278386.9875739,32899,0.6210959553718567
